iter	Passed	Remaining
410	3996	5726
411	4005	5716
412	4013	5704
413	4022	5694
414	4031	5683
415	4042	5674
416	4050	5663
417	4059	5651
418	4067	5640
419	4076	5629
420	4085	5619
421	4095	5609
422	4104	5599
423	4112	5587
424	4122	5577
425	4131	5566
426	4140	5556
427	4150	5546
428	4159	5536
429	4169	5526
430	4178	5516
431	4188	5506
432	4197	5496
433	4207	5487
434	4216	5477
435	4226	5467
436	4236	5457
437	4245	5447
438	4255	5438
439	4265	5429
440	4275	5419
441	4285	5409
442	4295	5401
443	4305	5391
444	4315	5382
445	4325	5372
446	4335	5363
447	4345	5353
448	4354	5344
449	4364	5334
450	4374	5324
451	4383	5314
452	4393	5305
453	4403	5295
454	4413	5286
455	4422	5276
456	4432	5266
457	4441	5256
458	4451	5246
459	4460	5236
460	4470	5226
461	4480	5217
462	4489	5207
463	4499	5197
464	4509	5188
465	4518	5178
466	4528	5168
467	4538	5158
468	4547	5149
469	4556	5138
470	4565	5128
471	4575	5117
472	4584	5108
473	4594	5098
474	4603	5087
475	4612	5078
476	4622	5067
477	4632	5058
478	4641	5048
479	4651	5039
480	4661	5030
481	4671	5020
482	4681	5010
483	4691	5001
484	4700	4991
485	4710	4982
486	4720	4972
487	4730	4962
488	4739	4953
489	4749	4943
490	4759	4933
491	4769	4924
492	4779	4915
493	4788	4905
494	4798	4895
495	4807	4885
496	4817	4875
497	4827	4865
498	4836	4856
499	4846	4846
500	4856	4836
501	4866	4827
502	4876	4818
503	4886	4808
504	4896	4799
505	4906	4790
506	4917	4781
507	4926	4771
508	4934	4760
509	4943	4749
510	4952	4739
511	4962	4729
512	4972	4720
513	4981	4709
514	4990	4699
515	4999	4689
516	5008	4679
517	5017	4668
518	5027	4658
519	5036	4649
520	5046	4639
521	5055	4629
522	5065	4619
523	5073	4608
524	5082	4598
525	5091	4588
526	5101	4578
527	5110	4568
528	5119	4558
529	5128	4547
530	5137	4537
531	5146	4527
532	5156	4517
533	5165	4507
534	5174	4497
535	5183	4487
536	5193	4477
537	5203	4468
538	5212	4458
539	5222	4448
540	5230	4438
541	5240	4428
542	5249	4418
543	5258	4407
544	5267	4398
545	5277	4388
546	5287	4378
547	5296	4368
548	5306	4358
549	5315	4349
550	5325	4339
551	5334	4329
552	5344	4320
553	5354	4310
554	5365	4301
555	5374	4291
556	5384	4282
557	5393	4272
558	5403	4262
559	5413	4253
560	5423	4243
561	5433	4234
562	5442	4224
563	5451	4214
564	5461	4205
565	5471	4195
566	5481	4186
567	5491	4176
568	5500	4166
569	5509	4156
570	5519	4146
571	5529	4137
572	5538	4127
573	5548	4117
574	5558	4108
575	5568	4098
576	5577	4088
577	5587	4079
578	5596	4069
579	5606	4059
580	5616	4050
581	5626	4040
582	5636	4031
583	5645	4021
584	5655	4011
585	5665	4002
586	5675	3993
587	5685	3983
588	5694	3973
589	5703	3963
590	5713	3953
591	5723	3944
592	5732	3934
593	5742	3924
594	5751	3914
595	5761	3905
596	5771	3895
597	5780	3886
598	5790	3876
599	5800	3867
600	5810	3857
601	5819	3847
602	5829	3837
603	5839	3828
604	5849	3818
605	5858	3809
606	5868	3799
607	5878	3790
608	5888	3780
609	5897	3770
610	5906	3760
611	5915	3750
612	5925	3740
613	5934	3730
614	5944	3721
615	5953	3711
616	5963	3702
617	5973	3692
618	5982	3682
619	5992	3673
620	6003	3663
621	6012	3654
622	6022	3644
623	6032	3634
624	6042	3625
625	6052	3616
626	6062	3606
627	6072	3597
628	6081	3587
629	6091	3577
630	6100	3567
631	6110	3558
632	6120	3548
633	6130	3538
634	6140	3529
635	6149	3519
636	6159	3510
637	6169	3500
638	6179	3490
639	6189	3481
640	6199	3472
641	6210	3462
642	6220	3453
643	6229	3443
644	6239	3433
645	6249	3424
646	6261	3415
647	6269	3405
648	6279	3396
649	6289	3386
650	6299	3377
651	6309	3367
652	6319	3358
653	6329	3348
654	6339	3339
655	6349	3329
656	6359	3320
657	6369	3310
658	6379	3301
659	6388	3291
660	6398	3281
661	6408	3271
662	6418	3262
663	6427	3252
664	6437	3242
665	6447	3233
666	6456	3223
667	6466	3214
668	6476	3204
669	6486	3195
670	6497	3185
671	6507	3176
672	6516	3166
673	6525	3156
674	6535	3146
675	6544	3136
676	6554	3127
677	6564	3117
678	6574	3107
679	6583	3098
680	6593	3088
681	6603	3078
682	6613	3069
683	6622	3059
684	6632	3050
685	6642	3040
686	6651	3030
687	6661	3020
688	6670	3011
689	6679	3001
690	6689	2991
691	6698	2981
692	6708	2971
693	6717	2961
694	6727	2952
695	6736	2942
696	6745	2932
697	6755	2922
698	6765	2913
699	6774	2903
700	6784	2893
701	6793	2883
702	6805	2875
703	6815	2865
704	6824	2855
705	6833	2845
706	6843	2836
707	6853	2826
708	6863	2817
709	6874	2807
710	6884	2798
711	6893	2788
712	6905	2779
713	6914	2769
714	6923	2759
715	6933	2750
716	6942	2740
717	6952	2730
718	6961	2720
719	6970	2710
720	6979	2700
721	6988	2690
722	6997	2681
723	7008	2671
724	7017	2661
725	7027	2652
726	7037	2642
727	7046	2632
728	7056	2623
729	7066	2613
730	7075	2603
731	7085	2594
732	7095	2584
733	7104	2574
734	7114	2565
735	7124	2555
736	7133	2545
737	7142	2535
738	7151	2525
739	7161	2516
740	7170	2506
741	7181	2496
742	7190	2487
743	7200	2477
744	7210	2468
745	7220	2458
746	7229	2448
747	7239	2438
748	7247	2428
749	7256	2418
750	7266	2409
751	7275	2399
752	7285	2389
753	7295	2380
754	7304	2370
755	7312	2360
756	7321	2350
757	7330	2340
758	7339	2330
759	7347	2320
760	7356	2310
761	7365	2300
762	7374	2290
763	7385	2281
764	7394	2271
765	7404	2261
766	7414	2252
